type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
start,,,start,,,,,,,,,,,,,,,,,
end,,,end,,,,,,,,,,,,,,,,,
deviceid,,,deviceid,,,,,,,,,,,,,,,,,
begin group,x,,x_,Section 0 - Code,Section 0 - Codes,Section 0 - Codes,,Section 0 - Codes,,,,,,,,,,,,
select_one enq_list,,,interviewer,A.1.0 Interviewer name,0 - Nom d'enqueteur,Jina ya Muhulizaji,,Jina ya Muhulizaji,,,,,,,,,,,yes,
text,,,village,A.1.1 Enter the name of the Village.,Nom de village,Jina la kijiji,,Jina la kijiji,,,,,,,,,,,yes,
integer,,,vill_id,A.1.1.1 Enter the village code,Village ID,ID ya kijiji,,ID ya kijiji,,,,,,,,,,,yes,
integer,,,hhid1,A.1.1.9 Enter the household number,Ménage ID,ID ya Jamaa,,ID ya Jamaa,,,,,,,,,,,yes,
integer,,,hhid2,A.1.1.9 Enter the household number,Ménage ID,ID ya Jamaa,,ID ya Jamaa,,,,,,,,.=${hhid1},Les deux codes doivent etre le même,Les deux codes doivent etre le même,yes,
select_one yes_no,,,athomeyn,Is any one at home?,Est-ce qu'il y a quelqu'un present?,Kuko mtu iko tayali ku mazungumzo ,Est-ce qu'il y a quelqu'un present?,Kuko mtu iko tayali ku mazungumzo ,,,,,,,,,,,yes,
select_one yes_no,,,agricultureyn,Does the household practice agriculture,Est-ce que le ménage practique l'agriculture?,Est-ce que le ménage practique l'agriculture?,Est-ce que le ménage practique l'agriculture?,Est-ce que le ménage practique l'agriculture?,,,,,,${athomeyn}='1',,,,,yes,
select_one yes_no,,,responsableagryn,Is any persone responsible for agriculture at home?,Est-qu'il y a quelqu'un present qui est responsable pour l'agriculture?,Est-qu'il y a quelqu'un present qui est responsable pour l'agriculture?,Est-qu'il y a quelqu'un present qui est responsable pour l'agriculture?,Est-qu'il y a quelqu'un present qui est responsable pour l'agriculture?,,,,,,${agricultureyn}='1',,,,,yes,
select_one yes_no,,,acceptconsentyn,Does the respondent accept the informed consent?,Est-que l'enqueté a accepté le consent informé?,Est-que l'enqueté a accepté le consent informé?,Est-que l'enqueté a accepté le consent informé?,Est-que l'enqueté a accepté le consent informé?,,,,,,${responsableagryn}='1',,,,,yes,
select_one yes_no,,,leftyn,Has the respondend terminated the interview?,Est-ce que l'enquete a quitté l'entretien?,Est-ce que l'enquete a quitté l'entretien?,Est-ce que l'enquete a quitté l'entretien?,Est-ce que l'enquete a quitté l'entretien?,,,,,,"${mem_exist_1} = 1 and ${int_pol}=""""",,,,,yes,
select_one left_list or_other,,,leftreason,Why did the respondent terminate the interview?,Porquoi est-ce que l'enquêté a terminé l'entretien?,Porquoi est-ce que l'enquêté a terminé l'entretien?,Porquoi est-ce que l'enquêté a terminé l'entretien?,Porquoi est-ce que l'enquêté a terminé l'entretien?,,,,,,${leftyn}='1',,,,,,
