grpcnt,rptcnt,type,A,B,name,Eng_lab,French_lab,Swahililab,label::English,label::Français,label::Swahili,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::English,constraint_message::Français,constraint_message::Swahili,required,repeat_count
0,0,start,,,start,,,,,,,,,,,,,,,,,,,
0,0,end,,,end,,,,,,,,,,,,,,,,,,,
0,0,deviceid,,,deviceid,,,,,,,,,,,,,,,,,,yes,
0,0,select_one enq_list,,,interviewer,Interviewer name,Nom d'enqueteur,Jina ya Muhulizaji,Interviewer name,Nom d'enqueteur,Jina ya Muhulizaji,,,,,,,,,,,,yes,
0,0,integer,,,device_num,Device number,Code de tablette,Code de tablette,Device number,Code de tablette,Code de tablette,"pulldata('tablets', 'device_code', 'deviceid_key', ${deviceid})",,,,,,,,,,,yes,
0,0,select_one axe_list,,,axe,In which axe are you?,Vous etes dans quel axe?,Vous etes dans quel axe?,In which axe are you?,Vous etes dans quel axe?,Vous etes dans quel axe?,,,,,,,,,,,,yes,
0,0,select_one vill_list,,,vill_id,Select the village,Selectionnez le village a partir de ce liste,Selectionnez le village a partir de ce liste,Select the village,Selectionnez le village a partir de ce liste,Selectionnez le village a partir de ce liste,,,,,,,,,,,,yes,
0,0,integer,,,hh_id,Enter the household code,Saisissez le code ménage,Saisissez le code ménage,Enter the household code,Saisissez le code ménage,Saisissez le code ménage,,,,,,,,,,,,yes,
,,integer,,,hhid_ent_2,Enter the household code,Saisissez le code ménage,Saisissez le code ménage,Enter the household code,Saisissez le code ménage,Saisissez le code ménage,,,Vérification,Vérification,Vérification,,,.=${hh_id},,,,yes,
0,0,text,,,hhname_ent,Quel est le nom d'enqueté?,Quel est le nom d'enqueté?,Quel est le nom d'enqueté?,Quel est le nom d'enqueté?,Quel est le nom d'enqueté?,Quel est le nom d'enqueté?,,,,,,,,,,,,yes,
0,0,calculate,,,obs_id,,,,,,,"concat('.',${axe},if(${vill_id}<10,'0',''),${vill_id},if(${hh_id}<10,'0',''),${hh_id})",,,,,,,,,,,,
0,0,calculate,,,date_y,,,,,,,"format-date(${start},'%Y')",,,,,,,,,,,,
0,0,calculate,,,date_m,,,,,,,"format-date(${start},'%n')",,,,,,,,,,,,
