var,varlabel,nall,meanall,sdall,n1,mean1,sd1,n0,mean0,sd0,diff,p,meanall_pct,mean1_pct,mean0_pct
marstat,Marital status,2863,2.49,0.84,1607,2.50,0.83,1256,2.48,0.86,.0236443,.5986232,249,250,248
wivesnumb,Number of wives,2232,1.61,0.88,1241,1.63,0.91,991,1.58,0.82,.0583029,.2187209,161,163,158
agehead,Age HH head,3108,44.78,15.52,1758,44.84,15.47,1350,44.69,15.60,.1566435,.8264459,4478,4484,4469
muslim,Muslim,3108,0.83,0.37,1758,0.83,0.37,1350,0.83,0.37,5.12e-16,1,83,83,83
education,Head educated,3108,0.42,0.49,1758,0.42,0.49,1350,0.42,0.49,4.27e-16,1,42,42,42
villsize,Village Size,3220,174.15,139.26,1825,235.46,152.42,1395,93.95,55.04,141.514,2.91e-14,17415,23546,9395
hhsize,HH Size,3108,7.44,4.93,1758,7.43,4.97,1350,7.46,4.88,-.0280487,.9161738,744,743,746
muslim,Muslim,3108,0.83,0.37,1758,0.83,0.37,1350,0.83,0.37,5.12e-16,1,83,83,83
wives,No. of wives,3108,1.32,0.92,1758,1.32,0.94,1350,1.32,0.89,-.0046095,.9253547,132,132,132
leader,Village leader,3144,0.05,0.23,1783,0.05,0.23,1361,0.05,0.23,-9.08e-17,1,5,5,5
education,Head educated,3108,0.42,0.49,1758,0.42,0.49,1350,0.42,0.49,4.27e-16,1,42,42,42
agehead,Age HH head,3108,44.78,15.52,1758,44.84,15.47,1350,44.69,15.60,.1566435,.8264459,4478,4484,4469
migrant20,Migrant,3108,0.74,0.44,1758,0.77,0.42,1350,0.69,0.46,.0783309,.002924,74,77,69
