var,varlabel,nall,meanall,sdall,n1,mean1,sd1,n0,mean0,sd0,diff,p,meanall_pct,mean1_pct,mean0_pct
married,Married,3195,0.78,0.42,1808,0.76,0.42,1387,0.80,0.40,-.0330239,.0975334,78,76,80
villsize,Village Size,3278,173.42,139.72,1851,236.21,152.53,1427,91.97,54.04,144.2381,9.25e-15,17342,23621,9197
hhsize,HH Size,3164,7.32,4.83,1784,7.42,4.98,1380,7.19,4.62,.2296598,.3541861,732,742,719
muslim,Muslim,3164,0.81,0.39,1784,0.83,0.37,1380,0.79,0.41,.0429405,.2081354,81,83,79
wivesnumb,Number of wives,2272,1.57,0.87,1262,1.63,0.92,1010,1.49,0.79,.1448039,.0013365,157,163,149
leader,Village leader,3195,0.06,0.24,1808,0.06,0.23,1387,0.07,0.25,-.0096969,.0563531,6,6,7
education,Head educated,3164,0.40,0.49,1784,0.42,0.49,1380,0.37,0.48,.0483639,.1494117,40,42,37
agehead,Age HH head,3164,44.54,16.09,1784,44.59,15.92,1380,44.48,16.31,.1117534,.8732516,4454,4459,4448
roof,Improved roof,3157,0.56,0.50,1779,0.64,0.48,1378,0.46,0.50,.1786375,.0000234,56,64,46
relwealthbin,High wellbeing relative to village,2633,0.18,0.38,1483,0.18,0.39,1150,0.17,0.38,.0086294,.6543735,18,18,17
