var,coef,stderr,pval,N,reg,coef_pct
Delta:husbmoreland,0.45,0.24,0.06,350,l5,45
Delta:victimfamlost,0.37,0.18,0.04,350,l5,37
Delta:acledviolence10,0.01,0.02,0.52,350,l5,1
Delta:attwifetotal,0.00,0.02,1.00,350,l5,0
Delta:agewife,0.01,0.02,0.60,350,l5,1
Delta:agehusband,-0.01,0.02,0.56,350,l5,1
Delta:genderhead,0.42,0.41,0.30,350,l5,42
Delta:eduwife_sec,-1.25,0.33,0.00,350,l5,125
Delta:eduhusband_prim,-0.26,0.18,0.14,350,l5,26
Delta:tinroof,0.21,0.23,0.36,350,l5,21
Delta:livestockany,-0.19,0.19,0.30,350,l5,19
Delta:terrfe_2,0.20,0.36,0.57,350,l5,20
Delta:terrfe_3,0.19,0.38,0.61,350,l5,19
Delta:treatment,0.07,0.17,0.66,350,l5,7
Delta:_cons,-0.11,0.61,0.86,350,l5,11
Gamma:husbmoreland,-0.19,0.14,0.17,350,l5,19
Gamma:victimfamlost,-0.05,0.12,0.70,350,l5,5
Gamma:acledviolence10,0.01,0.02,0.64,350,l5,1
Gamma:attwifetotal,0.00,0.02,0.82,350,l5,0
Gamma:agewife,-0.01,0.02,0.67,350,l5,1
Gamma:agehusband,0.01,0.02,0.62,350,l5,1
Gamma:genderhead,-0.27,0.49,0.58,350,l5,27
Gamma:eduwife_sec,0.41,0.32,0.21,350,l5,41
Gamma:eduhusband_prim,-0.07,0.15,0.65,350,l5,7
Gamma:tinroof,0.01,0.16,0.97,350,l5,1
Gamma:livestockany,-0.27,0.12,0.02,350,l5,27
Gamma:terrfe_2,0.11,0.25,0.66,350,l5,11
Gamma:terrfe_3,0.37,0.25,0.13,350,l5,37
Gamma:treatment,-0.09,0.13,0.46,350,l5,9
Gamma:_cons,2.19,0.36,0.00,350,l5,219
Delta:acledviolence10,0.01,0.02,0.59,379,l3,1
Delta:agewife,0.01,0.02,0.76,379,l3,1
Delta:agehusband,-0.01,0.02,0.65,379,l3,1
Delta:genderhead,0.26,0.32,0.42,379,l3,26
Delta:eduwife_sec,-1.03,0.34,0.00,379,l3,103
Delta:eduhusband_prim,-0.19,0.18,0.29,379,l3,19
Delta:tinroof,0.18,0.23,0.43,379,l3,18
Delta:livestockany,-0.14,0.18,0.42,379,l3,14
Delta:terrfe_2,0.44,0.29,0.13,379,l3,44
Delta:terrfe_3,0.50,0.30,0.10,379,l3,50
